"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Shura",3.38,5.70,3.70,6.80,0,0,2,8,0,60,4, 32, 87, 16, 7, 10,3,5,49, 148831, 144144, 24791, 38.73, 116463,1663.6
"suffix",2.72,3.00,5.00,10.60,0,0,2,3,5,50,24, 47, 151, 8, 1, 12,5,4,58, 141725, 185025, 47415, 60.67, 99006,1704.2
"CIarent",1.74,0.90,4.70,7.30,2,0,0,0,8,30,21, 78, 245, 2, 0, 9,5,1,44, 56060, 169098, 15472, 116.92, 82613,1727.7
"Joyul",2.33,2.70,4.20,7.10,3,0,1,2,4,40,26, 23, 130, 8, 2, 10,4,3,58, 104559, 190532, 46554, 25.93, 94206,1653.3
"camtheham LFT ",2.74,5.50,4.30,6.30,0,1,0,9,0,50,17, 18, 50, 17, 4, 10,7,5,51, 168690, 149396, 33624, 57.68, 110460,1615.6
"Dispencer Tilted",2.40,2.70,4.70,8.60,10,0,0,0,0,70,0, 19, 95, 10, 2, 10,2,3,51, 120577, 218373, 19626, 28.10, 93987,1516.8
"Liquid Painless",4.59,1.30,2.70,11.10,0,0,0,1,9,30,50, 68, 289, 2, 0, 10,1,1,60, 58725, 147212, 60233, 59.48, 80338,1834.2
"Pyrites",3.10,2.60,4.10,10.10,0,0,1,1,8,50,18, 82, 254, 1, 1, 10,3,4,50, 128857, 172113, 29445, 16.48, 100244,1741.6
"LegendaryJosh",3.51,3.60,4.50,12.20,4,0,0,0,6,60,29, 61, 256, 6, 0, 16,3,6,56, 135887, 239081, 48319, 84.95, 109896,1960.6
"Based Yoona",2.43,3.50,4.40,7.20,0,2,0,7,1,50,13, 44, 122, 9, 3, 7,2,3,50, 134558, 188784, 38907, 47.00, 104601,1733.3
"Ben Diao",3.92,8.70,4.00,7.00,3,7,0,0,0,70,8, 27, 90, 10, 0, 15,4,3,62, 193091, 221808, 75262, 66.05, 122100,1585.7
"yellowStar1",7.11,1.40,1.90,12.10,0,0,0,0,10,80,35, 79, 287, 2, 0, 14,4,8,56, 47743, 192298, 90533, 34.45, 87984,1668.1
"Disciplen",2.03,5.40,7.30,9.40,3,0,3,4,0,40,21, 35, 100, 14, 7, 14,4,4,52, 216604, 227379, 31959, 135.68, 126322,1912.5
"Liquid Matt",2.64,3.00,5.60,11.80,2,0,0,1,7,50,24, 35, 207, 0, 0, 8,4,6,61, 114827, 222309, 59444, 33.60, 96680,1719.1
"JacksonCross",1.91,4.50,5.30,5.60,5,5,0,0,0,30,9, 30, 68, 12, 2, 6,0,3,53, 149309, 256412, 81689, 42.13, 104840,1682.6
"Akunorogia",1.70,5.70,7.10,6.40,1,3,2,4,0,30,8, 25, 79, 7, 1, 12,1,3,49, 133407, 232039, 42504, 82.33, 107774,1746.1
"TornadoWatch",2.74,5.30,3.50,4.30,0,0,0,10,0,50,1, 14, 72, 13, 4, 8,3,4,52, 153271, 116436, 27306, 311.63, 108509,1551.1
"Dynatrix",3.30,7.40,4.40,7.10,4,0,5,0,1,70,12, 36, 117, 13, 0, 10,5,9,48, 200002, 235279, 57877, 62.90, 125088,1791.9
"I Wanderer I",2.75,4.10,4.00,6.90,6,0,4,0,0,50,4, 18, 90, 11, 3, 8,2,2,56, 180486, 169206, 26113, 81.35, 108444,1626.6
"Zantar",3.04,4.00,5.00,11.20,0,10,0,0,0,40,1, 33, 101, 5, 1, 14,2,3,65, 143050, 348240, 107578, 107.17, 109593,2006.6
"Smurf King Vamb",3.53,6.50,4.90,10.80,1,8,1,0,0,60,39, 56, 78, 5, 3, 7,0,2,64, 181870, 271411, 81297, 116.95, 112472,1691.3
