"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Caid",1.95,10.80,9.20,7.10,0,8,1,1,0,40,0, 9, 107, 7, 3, 17,0,5,55, 226155, 311091, 68640, 84.47, 149175,2191.6,0,1785,17318,2813,0,28961,24903,47.00,193,5553,13370,19529,55.00,145,83,0,0,0,0,0,183824,266659,5.50,677,63004,0,0,0,0,0
"NAJPANKAEW",1.77,10.90,10.80,8.20,2,0,4,4,0,40,0, 6, 126, 7, 3, 13,1,2,49, 256688, 289427, 31550, 86.40, 131861,2051.3,3975,9403,0,7135,0,92364,96581,27.75,379,12852,123556,131008,30.75,688,8508,40768,61838,38.50,252,10190,0,0,0,0,0,0,0,0,0,0
"tornado3585",1.77,6.00,7.70,7.60,5,1,0,2,2,60,0, 7, 120, 5, 0, 24,5,5,36, 200133, 290266, 66675, 50.80, 132366,2211.1,10674,0,2494,4785,4158,44703,60845,31.50,260,3000,0,0,0,0,0,120627,141677,49.80,877,36013,11990,37050,1.00,104,13335,22813,50694,15.50,169,14327
"The Honored Teem",2.44,11.00,8.40,9.50,1,3,3,3,0,50,2, 11, 166, 5, 3, 19,2,2,51, 267363, 320932, 45630, 120.88, 146782,2403.4,2070,7511,6666,7787,0,67069,94519,45.00,584,16615,114589,99691,47.33,498,9358,23206,32815,50.00,153,3054,62499,93907,0.00,204,16603,0,0,0,0,0
"alphadog192",2.07,0.30,1.40,2.60,0,0,0,1,2,33,2, 9, 29, 0, 0, 2,1,0,54, 34728, 55774, 8496, 15.92, 22103,1641,0,0,0,1854,3069,10719,23101,13.00,43,3187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24009,32673,9.50,78,5309
"kuckers",2.68,9.80,7.80,11.10,1,3,1,3,2,70,2, 6, 121, 13, 4, 15,1,3,53, 257582, 269913, 53491, 62.43, 138387,2111.2,1592,3151,7613,4753,4003,61774,49260,40.67,342,7315,59559,42441,31.00,196,4860,21447,13225,53.00,100,4289,75055,115103,3.33,208,26358,39747,49884,11.50,102,10669
"charmingthomas",3.67,4.80,4.30,11.00,4,0,5,1,0,60,0, 39, 78, 15, 5, 16,2,4,48, 170780, 188413, 57094, 26.78, 119525,2012.8,7378,10758,0,1992,0,13695,14714,32.00,129,3461,119382,93489,46.00,796,22875,37703,80210,46.25,629,30758,0,0,0,0,0,0,0,0,0,0
"Mexcrusader",1.86,8.00,7.80,6.50,4,6,0,0,0,40,0, 4, 49, 9, 4, 13,0,4,52, 201702, 348144, 65793, 115.05, 128293,2125.6,6687,0,14569,0,0,0,0,0,0,0,0,0,0,0,0,56238,103796,41.00,428,5825,145464,244348,1.67,523,59968,0,0,0,0,0
"Fire40",1.68,6.30,8.20,7.50,2,5,2,1,0,30,0, 1, 185, 0, 2, 14,1,5,40, 179080, 311679, 57868, 84.87, 115878,2104.8,3908,4876,10952,1312,0,17821,10057,31.00,76,518,24574,28391,29.00,191,915,38069,71501,44.00,245,8212,98616,201730,0.20,340,48223,0,0,0,0,0
"Centricus",2.93,2.60,5.90,14.70,0,1,0,3,6,70,1, 4, 139, 9, 1, 19,0,2,50, 108570, 228462, 118730, 113.68, 108605,2060.9,0,0,2155,5491,12963,32410,57457,9.33,107,27568,0,0,0,0,0,0,0,0,0,0,6020,25966,6.00,57,5865,70140,145039,7.67,219,85297
"GamingRaiju",3.05,7.90,5.90,10.10,1,3,0,4,2,50,0, 39, 149, 13, 1, 20,5,2,52, 218267, 251171, 66242, 79.45, 136692,2261.5,1284,0,7083,9030,5218,108697,72290,49.00,800,14159,0,0,0,0,0,7755,11970,23.00,88,1248,67611,124984,1.00,212,31431,34204,41927,6.50,63,19404
"Pickupmypooptoo",1.62,3.30,5.80,6.10,0,0,2,8,0,30,0, 5, 124, 7, 1, 16,1,3,34, 165061, 190105, 30545, 18.37, 112711,2020,0,4710,0,15490,0,113442,144736,53.00,1372,25445,51619,45369,47.00,380,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacon777",3.15,9.40,6.10,9.80,2,3,2,3,0,40,0, 0, 55, 3, 2, 14,1,3,52, 240165, 291586, 58216, 180.93, 140714,2189.8,3901,5007,7659,5331,0,58021,61082,49.00,437,9432,51621,58383,61.00,505,4518,36531,49542,57.50,320,9079,93992,122579,4.67,256,35187,0,0,0,0,0
"Gramer",2.22,9.40,7.70,7.70,2,3,4,1,0,60,0, 7, 94, 15, 0, 16,4,5,48, 229339, 273304, 53189, 72.67, 129053,2035.8,2927,8092,6595,2744,0,32481,29567,43.00,278,5331,97197,106400,52.25,616,13190,34638,32241,27.50,185,19902,65023,105096,8.00,116,14766,0,0,0,0,0
"C69 NotSoSneaky",1.71,7.10,10.80,11.40,0,3,1,1,5,50,1, 13, 121, 6, 0, 23,3,7,43, 210890, 307019, 41026, 147.87, 132905,2268.8,0,2919,6754,2083,10932,11136,37672,12.00,34,1627,41962,42575,66.00,261,0,0,0,0,0,0,75659,97768,3.67,256,20378,82133,129004,6.00,163,19021
"pee on yo face",1.47,3.80,6.80,6.20,4,4,0,0,2,30,0, 10, 58, 5, 0, 9,4,1,41, 124849, 341728, 69490, 120.80, 105223,1966.8,6928,0,8821,0,3919,0,0,0,0,0,0,0,0,0,0,48205,101797,41.00,571,15499,64063,165846,2.25,223,40655,12581,74085,11.50,88,13336
"KingoDarkness",2.10,7.90,7.70,8.30,4,0,4,0,1,56,0, 4, 64, 3, 4, 14,3,0,49, 189277, 215166, 22645, 51.48, 101125,1994.6666666666667,8004,8288,0,0,1660,0,0,0,0,0,99675,82086,29.75,321,8334,83332,110042,36.25,420,12509,0,0,0,0,0,6270,23038,14.00,32,1802
