SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength
DaBaier,4,1.8,3.9,13.8,1,0,0,1,8,100,21,28,122,11,1,26,6,3,46,130254,152261,15648,65,109017,1878.7
Finessen God,2.15,7.9,8,9.3,2,0,0,8,0,50,0,11,119,17,3,24,0,3,54,301964,242555,31851,97.33,131720,2113.4
Pepper Eater,3.24,8.2,4.6,6.7,5,3,2,0,0,60,15,10,134,11,3,23,1,4,51,185294,251660,39472,66.22,122458,1907.2
wingdagger7,2.59,6.9,6.1,8.9,2,3,4,0,1,40,5,39,101,6,2,12,2,2,49,179767,302705,85501,56.3,128550,2123.2
PandaTV XIA,2.43,8.3,6.3,7,6,1,3,0,0,50,0,39,33,19,2,20,1,1,47,203685,262852,33597,57.62,120088,1928.9
wbh520,2.85,1,4.1,10.7,0,1,0,1,8,40,0,18,117,0,0,15,2,3,43,68137,237267,29614,50.65,93408,2020.1
Vexdra,2.78,5.3,5.1,8.9,0,3,0,6,1,40,8,10,64,5,0,18,2,3,46,147440,198844,88400,48.98,119029,2038
PaPaPa Feeder,3.39,9.6,6.2,11.4,0,4,1,5,0,50,2,20,70,15,2,16,2,8,66,255300,311672,99684,53.18,136885,2137.4
Clown Baby OG,3.3,7,4.6,8.2,1,0,2,7,0,60,9,34,98,9,1,16,1,5,55,254458,193314,30522,56.8,130664,1992.4
Snoop Dongg,4.05,1.2,3.9,14.6,0,0,0,0,10,70,12,43,177,0,0,18,2,2,50,73057,207514,25984,44.6,95282,1993.8
Titlenamehere,2.22,4.7,4.9,6.2,2,1,5,2,0,30,11,16,106,10,2,11,0,2,39,154732,183629,23831,91.92,115239,1993.6
